,full_id,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,consumer_size_renovated,consumer_size_unrenovated,npv_unrenovated_25years_ir_0.05_gas,npv_renovated_25years_ir_0.05_dh,savings_npv_25years_ir_0.05,NFA
0,w24853838,trade,1197392.8826751309,1496741.1033439136,3368360.1466045496,3742622.385116166,nr2,nr2,-5195708.774105346,-6378398.921169149,-1182690.147063803,27974.42320393324
1,w24853840,trade,88019.54120636193,110024.4265079524,270688.823253195,300765.35917021666,nr2,nr2,-417538.5745038599,-588753.1934047643,-171214.61890090437,937.1926232803613
2,w24853841,trade,370411.49455784855,463014.36819731066,1189609.3568609958,1321788.1742899953,nr2,nr2,-1834977.1117649244,-2517724.2615728835,-682747.1498079591,8998.296452549099
3,w25538793,trade,30724.044681390333,38405.05585173791,112752.73275817276,125280.81417574751,nr1,nr2,-173921.53374292093,-279058.5937808743,-105137.06003795334,404.8852469230536
4,w27689586,office,239232.2588022705,299040.3235028381,239232.2588022705,265813.6208914117,nr2,nr2,-369016.70011770434,-443633.34242107946,-74616.64230337512,5481.69515059907
5,w28994179,other,602602.7887910821,753253.4859888526,602602.7887910821,669558.6542123135,nr2,nr2,-929517.1717841114,-1117469.2354704898,-187952.06368637842,16672.165487814695
6,w28994181,trade,324149.90597616514,405187.3824702064,324149.90597616514,360166.56219573907,nr2,nr2,-500002.504869771,-601104.9971004997,-101102.49223072868,2845.002712316811
7,w29249266,trade,2697249.5326306587,3371561.915788323,2697249.5326306587,2996943.9251451762,nr2,nr2,-4160518.012531257,-5001791.278046808,-841273.2655155514,23411.247439788887
8,w30213059,ab,186541.77691087977,233177.2211385997,354664.9280794791,394072.1423105323,r2,r2,-585394.8598899484,-840787.9456964108,-255393.08580646245,1747.46707642246
9,w50930444,other,330222.16830016905,412777.7103752113,1082817.2797117848,1203130.310790872,nr2,nr2,-1670249.912742452,-2408859.5896132216,-738609.6768707696,8762.936898044496
10,w50930445,other,202146.16980193532,252682.71225241915,664237.6418930636,738041.8243256261,nr2,nr2,-1024589.1751075892,-1653088.4976349103,-628499.322527321,4934.112452852726
11,w50930458,other,60554.61203303029,75693.26504128786,337265.1957843652,374739.10642707243,nr2,nr2,-520232.89098216186,-862405.5643629198,-342172.6733807579,1974.6456010334193
12,w50930471,other,258143.60911438576,322679.5113929822,805986.2955036239,895540.3283373598,nr2,nr2,-1243237.0308080602,-1730793.7951740497,-487556.7643659895,4724.4749339554455
13,w50930472,other,1058464.4972369291,1323080.6215461614,1058464.4972369291,1176071.663596588,nr2,nr2,-1632685.6499939947,-1962821.1725884925,-330135.5225944978,9715.957844087014
14,w50930478,trade,680901.6527717811,851127.0659647263,680901.6527717811,756557.3919686456,nr2,nr2,-1050293.4774285918,-1262666.9897760276,-212373.5123474358,6019.835157379508
15,w50930479,other,185541.01142931575,231926.26428664467,605573.605365519,672859.5615172433,nr2,nr2,-934099.6680345847,-1312224.9845270002,-378125.3164924155,4489.048651921749
16,w50930480,other,168700.98991545063,210876.23739431327,571805.8128687943,635339.7920764381,nr2,nr2,-882012.7152975801,-1237809.351994498,-355796.6366969178,4441.97852948606
17,w50930481,other,62080.660377160784,77600.82547145098,219388.45256825408,243764.94729806008,nr2,nr2,-338407.55095482233,-559766.2042978088,-221358.65334298648,1370.623297881335
18,w50930482,other,63379.87619939754,79224.84524924692,231580.2187222324,257311.35413581377,nr2,nr2,-357213.39819830074,-544946.4683352637,-187733.07013696292,1573.369959426485
19,w50930483,other,45123.70064816985,56404.62581021231,154144.6310888841,171271.81232098234,nr2,nr2,-237768.69971492764,-359843.18831911834,-122074.4886041907,704.9254127380437
20,w50930486,trade,30466.044901173256,38082.55612646657,106076.66272902593,117862.95858780658,nr1,nr2,-163623.66946556754,-263556.4883289293,-99932.81886336175,509.32494937628496
21,w98916060,other,226605.19701500298,283256.4962687537,226605.19701500298,251783.55223889218,nr2,nr2,-349539.40764783276,-420217.6640602738,-70678.25641244103,2713.01504517002
22,w98916062,trade,11092.043274505519,13865.054093131897,44628.266224654115,49586.962471837905,nr1,nr1,-74779.72132959885,-115328.85784107767,-40549.13651147882,151.14776481509907
23,w98916065,other,20948.500685227787,26185.625856534734,74365.24956076973,82628.05506752193,nr1,nr2,-114708.68993059207,-179791.5158081313,-65082.825877539246,222.67857759937178
24,w98916067,trade,3034378.024269405,3792972.530336756,3034378.024269405,3371531.1380771166,nr2,nr2,-4680540.036831137,-5626963.82091315,-946423.7840820132,43210.64675020873
25,w98916074,trade,491122.8611791089,613903.5764738861,491122.8611791089,545692.0679767877,nr2,nr2,-757558.944985224,-910740.372285546,-153181.427300322,4745.314506876469
26,w98916075,sfh,8538.96409194254,10673.705114928174,14372.556497617988,15969.507219575542,r1,r1,-25770.898517721274,-93064.51477991343,-67293.61626219215,67.06430839556852
27,w98916076,sfh,13728.213996145805,17160.267495182256,30526.14503843407,33917.93893159341,r1,r1,-54735.2996005342,-119937.57599778533,-65202.27639725113,98.82164086105185
