,full_id,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,trade,1197392.8826751309,1330436.536305701,1496741.1033439136,nr2,-1846983.2309463136,-2900261.693572041,-1053278.4626257275,0.1654985687322195
1,w24853840,trade,88019.54120636193,97799.49022929103,110024.4265079524,nr2,-135770.4884970877,-213196.27612640336,-77425.78762931566,0.1654985687322195
2,w24853841,trade,370411.49455784855,411568.3272864984,463014.36819731066,nr2,-571361.1872066937,-897191.1258774088,-325829.9386707151,0.1654985687322195
3,w25538793,trade,30724.044681390333,34137.827423767034,38405.05585173791,nr1,-51481.62126278791,-80840.02689886234,-29358.405636074436,0.17978017111012676
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-579455.7209333148,-210439.02081561042,0.1654985687322195
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1459592.594926619,-530075.4231425076,0.1654985687322195
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-785138.7534368016,-285136.2485670306,0.1654985687322195
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-6533135.122714942,-2372617.1101836856,0.1654985687322195
8,w30213059,ab,186541.77691087977,207268.64101208863,233177.2211385997,r2,-307897.93044858123,-483459.83685818466,-175561.90640960343,0.1654985687322195
9,w50930444,other,330222.16830016905,366913.5203335212,412777.7103752113,nr2,-509368.99338712863,-799846.6659911869,-290477.6726040582,0.1654985687322195
10,w50930445,other,202146.16980193532,224606.85533548368,252682.71225241915,nr2,-311811.26197281596,-489627.7581582446,-177816.49618542864,0.1654985687322195
11,w50930458,other,60554.61203303029,67282.90225892254,75693.26504128786,nr2,-93405.72722596636,-146672.177686698,-53266.45046073165,0.1654985687322195
12,w50930471,other,258143.60911438576,286826.2323493175,322679.5113929822,nr2,-398187.53235364717,-625261.7931737078,-227074.26082006062,0.1654985687322195
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-2563756.708227521,-931071.0582335261,0.1654985687322195
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1649243.9609394907,-598950.4835108989,0.1654985687322195
15,w50930479,other,185541.01142931575,206156.6793659064,231926.26428664467,nr2,-286197.7398739402,-449407.62202697626,-163209.88215303607,0.1654985687322195
16,w50930480,other,168700.98991545063,187445.54435050068,210876.23739431327,nr2,-260221.94045596189,-408618.61282017676,-148396.67236421487,0.1654985687322195
17,w50930481,other,62080.660377160784,68978.51153017864,77600.82547145098,nr2,-95759.66279882971,-150368.49125182675,-54608.82845299704,0.1654985687322195
18,w50930482,other,63379.87619939754,70422.08466599727,79224.84524924692,nr2,-97763.70831452575,-153515.3830827667,-55751.67476824095,0.1654985687322195
19,w50930483,other,45123.70064816985,50137.445164633165,56404.62581021231,nr1,-75609.87789317896,-118727.89575728448,-43118.017864105524,0.17978017111012676
20,w50930486,trade,30466.044901173256,33851.16100130362,38082.55612646657,nr1,-51049.31337140332,-80161.18694178855,-29111.87357038523,0.17978017111012676
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-548871.119893962,-199331.7122461293,0.1654985687322195
22,w98916062,trade,11092.043274505519,12324.492527228354,13865.054093131897,nr1,-18585.976449722642,-29184.99455306073,-10599.018103338087,0.17978017111012676
23,w98916065,other,20948.500685227787,23276.111872475318,26185.625856534734,nr1,-35101.58865747839,-55118.95899273951,-20017.370335261126,0.17978017111012676
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-7349709.919724871,-2669169.8828937346,0.1654985687322195
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-1189571.8119962502,-432012.86701102613,0.1654985687322195
26,w98916075,sfh,8538.96409194254,9487.737879936156,10673.705114928174,r1,-15310.900123884569,-24041.10110535919,-8730.200981474622,0.17978734459050413
27,w98916076,sfh,13728.213996145805,15253.571106828673,17160.267495182256,r1,-24615.551852787565,-38651.22011565537,-14035.668262867806,0.17978734459050413
28,w98916079,trade,133751.88480733606,148613.2053414845,167189.85600917006,nr2,-206312.8083697132,-323966.73937390005,-117653.93100418686,0.1654985687322195
29,w98916080,other,104082.21116258297,115646.90129175886,130102.76395322871,nr2,-160547.22008002846,-252102.42551526506,-91555.2054352366,0.1654985687322195
30,w98916086,other,20686.516731325537,22985.018590361706,25858.14591415692,nr1,-34662.60483124105,-54429.63601784629,-19767.031186605243,0.17978017111012676
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-101069.01020281287,-158705.5982897445,-57636.58808693162,0.1654985687322195
32,w98916094,trade,13612.2294499376,15124.699388819556,17015.286812422,nr1,-22808.83419976017,-35816.01987296177,-13007.185673201599,0.17978017111012676
33,w98916098,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-2143767.6849395363,-3366293.3113703392,-1222525.626430803,0.1654985687322195
34,w98916102,trade,73425.17962658805,81583.53291843117,91781.47453323506,nr2,-113258.62835976391,-177846.5856076217,-64587.95724785779,0.1654985687322195
35,w98916109,sfh,9629.8057932929,10699.784214769888,12037.257241616126,r1,-17266.847960239058,-27112.320910212595,-9845.472949973537,0.17978734459050413
36,w98916113,trade,50271.6825643969,55857.425071552105,62839.60320549612,nr2,-77544.26807720469,-121765.4099356223,-44221.14185841761,0.1654985687322195
37,w98916116,other,358101.17313169746,397890.1923685527,447626.4664146218,nr2,-552372.4679896035,-867373.7165839282,-315001.2485943247,0.1654985687322195
38,w98916121,other,22475.134293848154,24972.371437609057,28093.917867310192,nr1,-37659.63640350452,-59135.78370658748,-21476.14730308296,0.17978017111012676
39,w98916126,trade,54455.49615433791,60506.10683815323,68069.37019292239,nr2,-83997.81699488513,-131899.221872806,-47901.40487792087,0.1654985687322195
40,w99055014,mfh,51250.231128429565,56944.70125381063,64062.788910536954,r2,-84591.453779245,-132825.09039319496,-48233.63661394996,0.1654985687322195
41,w99055018,mfh,39011.950831555296,43346.61203506144,48764.93853944412,r1,-69950.88354844647,-109836.53803436481,-39885.65448591835,0.17978734459050413
42,w99055022,sfh,3912.1656857345315,4346.850761927257,4890.207107168164,r0,-8607.630451403838,-13515.659581434566,-4908.029130030727,0.2206124184713173
43,w99055023,sfh,7638.842228320924,8487.602475912137,9548.552785401154,r1,-13696.924961927867,-21506.845135025353,-7809.9201730974855,0.17978734459050413
44,w99055025,trade,131771.14343422168,146412.38159357963,164713.9292927771,nr2,-203257.50701130647,-319169.0924090353,-115911.58539772884,0.1654985687322195
45,w99055028,ab,18863.996140229203,20959.99571136578,23579.9951752865,r1,-33824.33252213011,-53110.80285327513,-19286.470331145014,0.17978734459050413
46,w99055030,other,33719.73290267432,37466.369891860355,42149.66612834289,nr1,-56501.23661710844,-88722.17649539273,-32220.93987828429,0.17978017111012676
47,w99055036,other,94056.81089942587,104507.56766602874,117571.01362428232,nr2,-145083.00074359222,-227819.43138137524,-82736.43063778302,0.1654985687322195
48,w99055038,other,24561.514626422148,27290.57180713572,30701.893283027683,nr1,-41155.60326612149,-64625.394334210956,-23469.791068089464,0.17978017111012676
49,w99055039,other,95255.37369289662,105839.30410321847,119069.21711612078,nr2,-146931.7885665421,-230722.52677098353,-83790.73820444144,0.1654985687322195
50,w99055040,trade,7536.8851086504455,8374.316787389384,9421.106385813056,nr1,-12628.90575405614,-19830.787294941718,-7201.881540885577,0.17978017111012676
