,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-6891224.079799882,-1695515.3056945363,0.13978854348232234
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-553793.9103143384,-136255.3358104785,0.13978854348232234
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-2433785.0730776344,-598807.9613127101,0.13978854348232234
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-230677.33651629105,-56755.80277337012,0.13978854348232234
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-489437.8958214982,-120421.19570379384,0.13978854348232234
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1232846.4498838512,-303329.2780997398,0.13978854348232234
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-663168.2897030985,-163165.78483332746,0.13978854348232234
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-5518219.584455722,-1357701.5719244652,0.13978854348232234
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-776389.8939853326,-190995.03409538418,0.13978854348232234
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-2215302.457932002,-545052.5451895499,0.13978854348232234
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-1358943.2938568625,-334354.11874927324,0.13978854348232234
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-690000.4563973071,-169767.56541514525,0.13978854348232234
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-1648942.490060684,-405705.45925262384,0.13978854348232234
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-2165479.8517685775,-532794.2017745827,0.13978854348232234
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1393035.6794793513,-342742.20205075946,0.13978854348232234
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-934099.6680345847,-1238924.35183714,-304824.6838025553,0.13978854348232234
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-882012.7152975801,-1169839.8672075234,-287827.1519099433,0.13978854348232234
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-338407.55095482233,-448840.06500682567,-110432.51405200333,0.13978854348232234
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-357213.39819830074,-473782.8231558545,-116569.42495755374,0.13978854348232234
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-237768.69971492764,-315359.7439995768,-77591.04428464914,0.13978854348232234
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-163623.66946556754,-217018.97086033132,-53395.30139476378,0.13978854348232234
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-463604.57976909954,-114065.17212126678,0.13978854348232234
22,w98916062,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-74779.72132959885,-99182.58291834121,-24402.861588742366,0.1518515142396801
23,w98916065,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-114708.68993059207,-152141.56924107217,-37432.8793104801,0.13978854348232234
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-6207940.362060058,-1527400.3252289211,0.13978854348232234
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-1004773.106138709,-247214.16115348495,0.13978854348232234
26,w98916075,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-25770.898517721274,-34179.09267574001,-8408.194158018734,0.1518575733275703
27,w98916076,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-54735.2996005342,-72593.62246894893,-17858.322868414733,0.1518575733275703
28,w98916079,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-777293.7327178841,-1030947.9458662231,-253654.21314833895,0.13978854348232234
29,w98916080,other,385409.83654958865,428233.15172176517,481762.2956869858,nr2,-594496.188718355,-788498.0912446575,-194001.9025263025,0.13978854348232234
30,w98916086,other,84265.32015590335,93628.13350655927,105331.65019487918,nr2,-129979.58776117284,-172395.8181656344,-42416.230404461574,0.13978854348232234
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-101069.01020281287,-134050.85371650633,-32981.84351369346,0.13978854348232234
32,w98916094,trade,46278.56665361178,51420.6296151242,57848.20831701472,nr1,-77544.98685809471,-102850.23736656277,-25305.25050846806,0.1518515142396801
33,w98916098,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-2143767.6849395363,-2843343.253875116,-699575.5689355796,0.13978854348232234
34,w98916102,trade,284238.58921225026,315820.65468027804,355298.2365153128,nr2,-438439.1417877663,-581514.9583580934,-143075.8165703271,0.13978854348232234
35,w98916109,sfh,38719.86130122445,43022.068112471614,48399.826626530565,r1,-69427.1486342374,-92078.93724583257,-22651.78861159517,0.1518575733275703
36,w98916113,trade,173540.7692960107,192823.07699556745,216925.96162001335,nr2,-267687.31918562605,-355041.70461261144,-87354.38542698539,0.13978854348232234
37,w98916116,other,1062734.6846249367,1180816.3162499296,1328418.3557811708,nr2,-1639272.4308349062,-2174216.0963721,-534943.6655371939,0.13978854348232234
38,w98916121,other,80557.30305057266,89508.1145006363,100696.62881321582,nr2,-124259.95679234069,-164809.700395442,-40549.743603101306,0.13978854348232234
39,w98916126,trade,194117.59848031573,215686.22053368413,242646.99810039465,nr2,-299427.15913235256,-397139.2044609432,-97712.04532859061,0.13978854348232234
40,w99055014,mfh,138482.6158739089,153869.5731932321,173103.2698423861,r2,-228573.52136756424,-303149.52211192873,-74576.00074436449,0.13978854348232234
41,w99055018,mfh,74738.71105496878,83043.01228329864,93423.38881871097,r2,-123360.54067509662,-163609.01616853452,-40248.4754934379,0.13978854348232234
42,w99055022,sfh,8121.358728508361,9023.731920564845,10151.69841063545,r1,-14562.107420004644,-19313.24275403765,-4751.135334033004,0.1518575733275703
43,w99055023,sfh,23689.428722857134,26321.58746984126,29611.785903571417,r1,-42476.63689203258,-56335.362458868236,-13858.72556683566,0.1518575733275703
44,w99055025,trade,357208.00610134704,396897.78455705225,446510.0076266838,nr2,-550994.7543324071,-730800.836610154,-179806.08227774687,0.13978854348232234
