,full_id,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,trade,1197392.8826751309,1330436.536305701,1496741.1033439136,nr2,-5212597.118448484,-4458778.197307097,753818.921141387,0.11207289005172857
1,w24853840,trade,88019.54120636193,97799.49022929103,110024.4265079524,nr2,-383174.4897584475,-399690.61136915203,-16516.12161070452,0.11207289005172857
2,w24853841,trade,370411.49455784855,411568.3272864984,463014.36819731066,nr2,-1612508.2394500019,-1706061.9166569577,-93553.67720695585,0.11207289005172857
3,w25538793,trade,30724.044681390333,34137.827423767034,38405.05585173791,nr1,-145292.57556386807,-185043.83803133285,-39751.26246746478,0.12174415467548182
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-1041447.1314432987,-392397.8182982416,649049.3131450571,0.11207289005172857
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-2623304.01814627,-988411.9341008057,1634892.0840454642,0.11207289005172857
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-1411118.1804102426,-531682.9617520635,879435.2186581792,0.11207289005172857
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-11741906.39092155,-4424130.91490727,7317775.47601428,0.11207289005172857
8,w30213059,ab,186541.77691087977,207268.64101208863,233177.2211385997,r2,-868956.3814882182,-609780.6296107373,259175.75187748089,0.11207289005172857
9,w50930444,other,330222.16830016905,366913.5203335212,412777.7103752113,nr2,-1437552.4924481185,-1619539.4142585786,-181986.92181046004,0.11207289005172857
10,w50930445,other,202146.16980193532,224606.85533548368,252682.71225241915,nr2,-880000.6726788365,-1098504.4655631995,-218503.79288436298,0.11207289005172857
11,w50930458,other,60554.61203303029,67282.90225892254,75693.26504128786,nr2,-263611.71905994945,-549391.6666851623,-285779.9476252129,0.11207289005172857
12,w50930471,other,258143.60911438576,286826.2323493175,322679.5113929822,nr2,-1123773.7024202931,-1174671.6292931812,-50897.926872888114,0.11207289005172857
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-4607801.7233163845,-1736133.5864207216,2871668.136895663,0.11207289005172857
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-2964161.591854026,-1116840.6984952057,1847320.8933588204,0.11207289005172857
15,w50930479,other,185541.01142931575,206156.6793659064,231926.26428664467,nr2,-807713.6214220091,-885225.5543593059,-77511.9329372968,0.11207289005172857
16,w50930480,other,168700.98991545063,187445.54435050068,210876.23739431327,nr2,-734404.1430646037,-831691.4588136533,-97287.31574904965,0.11207289005172857
17,w50930481,other,62080.660377160784,68978.51153017864,77600.82547145098,nr2,-270255.0483433639,-368613.1865640406,-98358.13822067669,0.11207289005172857
18,w50930482,other,63379.87619939754,70422.08466599727,79224.84524924692,nr2,-275910.910132106,-360406.80513439706,-84495.89500229107,0.11207289005172857
19,w50930483,other,45123.70064816985,50137.445164633165,56404.62581021231,nr1,-213387.87760963838,-246099.92565800645,-32712.048048368073,0.12174415467548182
20,w50930486,trade,30466.044901173256,33851.16100130362,38082.55612646657,nr1,-144072.5066259605,-175594.7089413316,-31522.202315371105,0.12174415467548182
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-986477.8838061058,-371686.4329623027,614791.4508438031,0.11207289005172857
22,w98916062,trade,11092.043274505519,12324.492527228354,13865.054093131897,nr1,-52453.75575810613,-75554.42888494101,-23100.67312683488,0.12174415467548182
23,w98916065,other,20948.500685227787,23276.111872475318,26185.625856534734,nr1,-99064.48354443899,-119880.99415893138,-20816.510614492392,0.12174415467548182
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-13209524.10394565,-4977101.844779065,8232422.259166585,0.11207289005172857
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-2137999.6891805213,-805558.3315055983,1332441.357674923,0.11207289005172857
26,w98916075,sfh,8538.96409194254,9487.737879936156,10673.705114928174,r1,-43210.762571852014,-61075.37336239946,-17864.61079054745,0.12174901243759888
27,w98916076,sfh,13728.213996145805,15253.571106828673,17160.267495182256,r1,-69470.55745120045,-80381.60557266544,-10911.048121464992,0.12174901243759888
