,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,27974.42320393324,trade,1197392.8826751309,1330436.536305701,1496741.1033439136,nr2,-184698.3230946314,-6170884.2644943595,-5986185.941399728,0.12952471641301008
1,w24853840,937.1926232803613,trade,88019.54120636193,97799.49022929103,110024.4265079524,nr2,-13577.048849708772,-561510.7911637393,-547933.7423140305,0.12952471641301008
2,w24853841,8998.296452549099,trade,370411.49455784855,411568.3272864984,463014.36819731066,nr2,-57136.118720669365,-2399072.230494244,-2341936.1117735747,0.12952471641301008
3,w25538793,404.8852469230536,trade,30724.044681390333,34137.827423767034,38405.05585173791,nr1,-5148.16212627879,-263147.3429188051,-257999.18079252628,0.14070197620499572
4,w27689586,5481.69515059907,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-36901.67001177043,-485246.53232903994,-448344.8623172695,0.12952471641301008
5,w28994179,16672.165487814695,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-92951.71717841114,-1222288.8129579714,-1129337.0957795603,0.12952471641301008
6,w28994181,2845.002712316811,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-50000.2504869771,-657489.1639497643,-607488.9134627873,0.12952471641301008
7,w29249266,23411.247439788887,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-416051.80125312577,-5470963.611211486,-5054911.80995836,0.12952471641301008
8,w30213059,1747.46707642246,ab,186541.77691087977,207268.64101208863,233177.2211385997,r2,-30789.793044858125,-828442.3221657512,-797652.5291208931,0.12952471641301008
9,w50930444,8762.936898044496,other,330222.16830016905,366913.5203335212,412777.7103752113,nr2,-50936.89933871287,-2286650.578191878,-2235713.678853165,0.12952471641301008
10,w50930445,4934.112452852726,other,202146.16980193532,224606.85533548368,252682.71225241915,nr2,-31181.12619728161,-1560427.9819081118,-1529246.8557108303,0.12952471641301008
11,w50930458,1974.6456010334193,other,60554.61203303029,67282.90225892254,75693.26504128786,nr2,-9340.572722596635,-797927.4369983649,-788586.8642757683,0.12952471641301008
12,w50930471,4724.4749339554455,other,258143.60911438576,286826.2323493175,322679.5113929822,nr2,-39818.75323536471,-1650487.398507393,-1610668.6452720282,0.12952471641301008
13,w50930472,9715.957844087014,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-163268.5649993995,-2146935.4904270377,-1983666.9254276382,0.12952471641301008
14,w50930478,6019.835157379508,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-105029.3477428592,-1381106.2417702798,-1276076.8940274206,0.12952471641301008
15,w50930479,4489.048651921749,other,185541.01142931575,206156.6793659064,231926.26428664467,nr2,-28619.773987394023,-1247683.1725747166,-1219063.3985873226,0.12952471641301008
16,w50930480,4441.97852948606,other,168700.98991545063,187445.54435050068,210876.23739431327,nr2,-26022.194045596192,-1174657.04943106,-1148634.8553854637,0.12952471641301008
17,w50930481,1370.623297881335,other,62080.660377160784,68978.51153017864,77600.82547145098,nr2,-9575.966279882974,-526100.4520715536,-516524.48579167057,0.12952471641301008
18,w50930482,1573.369959426485,other,63379.87619939754,70422.08466599727,79224.84524924692,nr2,-9776.370831452576,-513229.6085943623,-503453.2377629097,0.12952471641301008
19,w50930483,704.9254127380437,other,45123.70064816985,50137.445164633165,56404.62581021231,nr1,-7560.987789317896,-347973.89393001504,-340412.90614069713,0.14070197620499572
20,w50930486,509.32494937628496,trade,30466.044901173256,33851.16100130362,38082.55612646657,nr1,-5104.931337140331,-249094.7253893331,-243989.79405219277,0.14070197620499572
21,w98916060,2713.01504517002,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-34953.940764783285,-459634.44315489405,-424680.50239011075,0.12952471641301008
22,w98916062,151.14776481509907,trade,11092.043274505519,12324.492527228354,13865.054093131897,nr1,-1858.5976449722646,-108126.28462161122,-106267.68697663896,0.14070197620499572
23,w98916065,222.67857759937178,other,20948.500685227787,23276.111872475318,26185.625856534734,nr1,-3510.1588657478383,-169990.61898910222,-166480.4601233544,0.14070197620499572
24,w98916067,43210.64675020873,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-468054.0036831136,-6154777.877464899,-5686723.873781785,0.12952471641301008
25,w98916074,4745.314506876469,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-75755.89449852244,-996168.6042167539,-920412.7097182315,0.12952471641301008
26,w98916075,67.06430839556852,sfh,8538.96409194254,9487.737879936156,10673.705114928174,r1,-1531.090012388457,-87325.1526154074,-85794.06260301893,0.1407075904107178
27,w98916076,98.82164086105185,sfh,13728.213996145805,15253.571106828673,17160.267495182256,r1,-2461.555185278757,-113678.67861191725,-111217.12342663849,0.1407075904107178
28,w98916079,3334.9361924076916,trade,133751.88480733606,148613.2053414845,167189.85600917006,nr2,-20631.280836971324,-1145556.6581083476,-1124925.3772713763,0.12952471641301008
29,w98916080,2976.303781049745,other,104082.21116258297,115646.90129175886,130102.76395322871,nr2,-16054.72200800285,-837336.2008516629,-821281.4788436601,0.12952471641301008
30,w98916086,294.4025758753764,other,20686.516731325537,22985.018590361706,25858.14591415692,nr1,-3466.2604831241056,-208807.89810931397,-205341.63762618985,0.14070197620499572
31,w98916091,1116.7099465291947,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-10106.90102028129,-132902.89223008082,-122795.99120979953,0.12952471641301008
32,w98916094,150.05011938810347,trade,13612.2294499376,15124.699388819556,17015.286812422,nr1,-2280.8834199760167,-147464.47880090593,-145183.5953809299,0.14070197620499572
33,w98916098,15131.85493721813,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-214376.76849395363,-2818993.923321509,-2604617.154827555,0.12952471641301008
34,w98916102,1892.1415951219387,trade,73425.17962658805,81583.53291843117,91781.47453323506,nr2,-11325.862835976392,-695228.3687185219,-683902.5058825455,0.12952471641301008
35,w98916109,81.43322088830173,sfh,9629.8057932929,10699.784214769888,12037.257241616126,r1,-1726.6847960239056,-99602.45724814177,-97875.77245211786,0.1407075904107178
36,w98916113,559.2398283889517,trade,50271.6825643969,55857.425071552105,62839.60320549612,nr2,-7754.426807720468,-378816.2128528898,-371061.78604516934,0.12952471641301008
37,w98916116,6987.1012714248145,other,358101.17313169746,397890.1923685527,447626.4664146218,nr2,-55237.24679896036,-2129625.8982299324,-2074388.6514309722,0.12952471641301008
38,w98916121,458.57296650111675,other,22475.134293848154,24972.371437609057,28093.917867310192,nr1,-3765.9636403504533,-195083.58241093936,-191317.61877058892,0.14070197620499572
39,w98916126,1235.1179318586364,trade,54455.49615433791,60506.10683815323,68069.37019292239,nr2,-8399.781699488512,-457918.32996891055,-449518.548269422,0.12952471641301008
40,w99055014,379.03616306802724,mfh,51250.231128429565,56944.70125381063,64062.788910536954,r2,-8459.1453779245,-302509.72840490553,-294050.58302698104,0.12952471641301008
41,w99055018,363.825429549627,mfh,39011.950831555296,43346.61203506144,48764.93853944412,r1,-6995.088354844647,-230981.20414115855,-223986.1157863139,0.1407075904107178
42,w99055022,32.828185592684896,sfh,3912.1656857345315,4346.850761927257,4890.207107168164,r0,-860.7630451403836,-45177.79814451084,-44317.035099370456,0.17265865897559693
43,w99055023,57.57688737055287,sfh,7638.842228320924,8487.602475912137,9548.552785401154,r1,-1369.6924961927866,-63584.514994192796,-62214.82249800001,0.1407075904107178
44,w99055025,2922.078992408514,trade,131771.14343422168,146412.38159357963,164713.9292927771,nr2,-20325.750701130644,-904975.198497981,-884649.4477968503,0.12952471641301008
45,w99055028,168.94065034445376,ab,18863.996140229203,20959.99571136578,23579.9951752865,r1,-3382.4332522130117,-122580.25720290575,-119197.82395069273,0.1407075904107178
46,w99055030,502.22660109587014,other,33719.73290267432,37466.369891860355,42149.66612834289,nr1,-5650.123661710845,-289050.53813851095,-283400.4144768001,0.14070197620499572
47,w99055036,2513.4158389533286,other,94056.81089942587,104507.56766602874,117571.01362428232,nr2,-14508.300074359222,-775067.5570905502,-760559.257016191,0.12952471641301008
48,w99055038,337.97397138923407,other,24561.514626422148,27290.57180713572,30701.893283027683,nr1,-4115.560326612149,-229690.5996539335,-225575.03932732134,0.14070197620499572
49,w99055039,2475.299022556655,other,95255.37369289662,105839.30410321847,119069.21711612078,nr2,-14693.178856654215,-679543.9759638958,-664850.7971072416,0.12952471641301008
50,w99055040,101.95110847079195,trade,7536.8851086504455,8374.316787389384,9421.106385813056,nr1,-1262.8905754056143,-91993.85319222808,-90730.96261682246,0.14070197620499572
51,w99055041,189.90211718752977,ab,21595.11692946048,23994.5743660672,26993.8961618256,r1,-3872.14040146362,-161464.9215879811,-157592.7811865175,0.1407075904107178
52,w99055043,190.2007592998445,sfh,29155.98911223378,32395.543458037533,36444.98639029222,r1,-5227.852377687235,-206762.09329231363,-201534.2409146264,0.1407075904107178
53,w99055048,47.74609960326925,sfh,5769.180841789516,6410.2009353216845,7211.476052236895,r1,-1034.4504405237867,-64643.92544476198,-63609.47500423819,0.1407075904107178
54,w99055050,194.95880112051967,trade,16984.909900636445,18872.122111818273,21231.137375795555,nr1,-2846.014278897257,-163201.65790170705,-160355.6436228098,0.14070197620499572
55,w99055053,122.33706042193808,ab,14174.508663259385,15749.454070288204,17718.13582907423,r1,-2541.5786284086576,-132604.10737798738,-130062.52874957872,0.1407075904107178
56,w99055057,303.91877080444243,ab,36040.58788819037,40045.09765354486,45050.73486023796,r1,-6462.304275091919,-228381.41439398561,-221919.1101188937,0.1407075904107178
57,w99055067,194.8848727118224,sfh,21931.666176569037,24368.517973965598,27414.582720711296,r1,-3932.4857999658802,-154016.00803753707,-150083.5222375712,0.1407075904107178
58,w99055068,348.37368724122643,ab,40200.04013772175,44666.71126413528,50250.05017215219,r1,-7208.120246173656,-333744.1888315474,-326536.06858537375,0.1407075904107178
59,w99055094,263.70872883694244,other,16614.595860209945,18460.66206689994,20768.24482526243,nr1,-2783.9639617100893,-175783.12621177355,-172999.16225006347,0.14070197620499572
60,w99055100,85.6876405166462,sfh,12089.433153049305,13432.703503388117,15111.79144131163,r1,-2167.7114643845293,-103420.45584746856,-101252.74438308403,0.1407075904107178
61,w99055110,94.65369866762775,sfh,12604.978915374657,14005.532128194063,15756.22364421832,r1,-2260.1520648047117,-126628.76596106568,-124368.61389626097,0.1407075904107178
62,w99055113,801.3236896117684,education,39333.930829421224,43704.367588245805,49167.41353677653,nr1,-6590.846194685739,-335385.47728602745,-328794.6310913417,0.14070197620499572
63,w99055118,54.3237798044458,other,6219.479772060365,6910.533080067072,7774.349715075456,nr1,-1042.1443706294367,-64234.0036447504,-63191.859274120965,0.14070197620499572
64,w99055131,500.74276516167447,th,69240.53713621371,76933.93015134857,86550.67142026713,r2,-11428.548843283232,-446215.00942554534,-434786.46058226214,0.12952471641301008
65,w99055135,663.0715527065098,ab,68880.52212837798,76533.91347597554,86100.65266047248,r2,-11369.126295863194,-346987.03488074103,-335617.90858487785,0.12952471641301008
66,w99055142,64.54166975589469,sfh,9032.758360397225,10036.398178219139,11290.947950496531,r1,-1619.6304330372616,-75574.26978115976,-73954.6393481225,0.1407075904107178
67,w99055146,149.08371188635937,sfh,17342.70904751041,19269.67671945601,21678.38630938801,r1,-3109.656900356104,-107471.13773178059,-104361.48083142449,0.1407075904107178
68,w99055147,57.659734526090325,sfh,7330.462267285426,8144.958074761584,9163.077834106782,r1,-1314.3980280022338,-73712.94553935245,-72398.54751135022,0.1407075904107178
69,w99055152,1635.3717537612654,other,76892.01538215307,85435.57264683674,96115.01922769133,nr2,-11860.62361480014,-578964.5007744345,-567103.8771596344,0.12952471641301008
70,w99055158,567.1104306213557,trade,39120.40099323338,43467.11221470375,48900.50124154172,nr1,-6555.066849000871,-336320.1411492255,-329765.07430022466,0.14070197620499572
71,w99055160,362.3993257842958,ab,41269.65009818708,45855.16677576342,51587.06262273384,r1,-7399.90804501977,-293189.365880728,-285789.4578357082,0.1407075904107178
72,w99055171,150.93386064656082,sfh,16885.70894548665,18761.8988283185,21107.136181858314,r1,-3027.7139053586975,-119802.0117401786,-116774.2978348199,0.1407075904107178
73,w99055172,71.28885925472714,sfh,9019.499646113589,10021.666273459543,11274.374557641986,r1,-1617.2530621058227,-90272.38142103043,-88655.1283589246,0.1407075904107178
74,w99055173,413.9677898917347,ab,46033.80958093352,51148.67731214836,57542.2619761669,r1,-8254.151829501996,-271057.8062604589,-262803.65443095687,0.1407075904107178
75,w99055181,184.62117180265486,other,15209.502381678169,16899.44709075352,19011.87797709771,nr1,-2548.5246142845845,-146966.9018197961,-144418.37720551153,0.14070197620499572
76,w99055182,84.81555104400032,sfh,9995.399856476368,11105.999840529297,12494.24982059546,r1,-1792.2381128784543,-103768.53230210733,-101976.29418922888,0.1407075904107178
77,w99055185,136.9722994968528,education,10840.570650859518,12045.07850095502,13550.713313574397,nr1,-1816.4605549414568,-125748.86193092058,-123932.40137597913,0.14070197620499572
78,w99055186,41.49024544628337,sfh,5137.404922484948,5708.227691649942,6421.756153106185,r1,-921.1690413166488,-54404.153995046894,-53482.98495373024,0.1407075904107178
79,w99055192,160.51305735595523,ab,18121.209085465063,20134.67676162785,22651.511356831328,r1,-3249.2468576298616,-151063.08854926858,-147813.84169163872,0.1407075904107178
