,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,27974.42320393324,trade,1197392.8826751309,1330436.536305701,1496741.1033439136,nr2,-7387932.923785254,-3911112.2808113415,3476820.642973913,0.10454788795811229
1,w24853840,937.1926232803613,trade,88019.54120636193,97799.49022929103,110024.4265079524,nr2,-543081.9539883508,-347443.92000681744,195638.03398153337,0.10454788795811229
2,w24853841,8998.296452549099,trade,370411.49455784855,411568.3272864984,463014.36819731066,nr2,-2285444.748826775,-1482184.6597155025,803260.0891112722,0.10454788795811229
3,w25538793,404.8852469230536,trade,30724.044681390333,34137.827423767034,38405.05585173791,nr1,-205926.48505115163,-159651.42998453334,46275.05506661828,0.11356978691896462
4,w27689586,5481.69515059907,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-1476066.8004708174,-366050.7293379959,1110016.0711328215,0.10454788795811229
5,w28994179,16672.165487814695,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-3718068.6871364457,-922046.1799025256,2796022.50723392,0.10454788795811229
6,w28994181,2845.002712316811,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-2000010.019479084,-495983.73602068715,1504026.2834583968,0.10454788795811229
7,w29249266,23411.247439788887,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-16642072.050125027,-4127077.859688087,12514994.19043694,0.10454788795811229
8,w30213059,1747.46707642246,ab,186541.77691087977,207268.64101208863,233177.2211385997,r2,-1231591.721794325,-540733.408101997,690858.3136923279,0.10454788795811229
9,w50930444,8762.936898044496,other,330222.16830016905,366913.5203335212,412777.7103752113,nr2,-2037475.9735485145,-1403522.0228198385,633953.950728676,0.10454788795811229
10,w50930445,4934.112452852726,other,202146.16980193532,224606.85533548368,252682.71225241915,nr2,-1247245.0478912639,-948418.9598260284,298826.0880652354,0.10454788795811229
11,w50930458,1974.6456010334193,other,60554.61203303029,67282.90225892254,75693.26504128786,nr2,-373622.90890386543,-467711.39300002216,-94088.48409615672,0.10454788795811229
12,w50930471,4724.4749339554455,other,258143.60911438576,286826.2323493175,322679.5113929822,nr2,-1592750.1294145887,-1021032.6822786261,571717.4471359625,0.10454788795811229
13,w50930472,9715.957844087014,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-6530742.599975979,-1619562.9432742528,4911179.656701726,0.10454788795811229
14,w50930478,6019.835157379508,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-4201173.909714367,-1041851.7463004938,3159322.1634138734,0.10454788795811229
15,w50930479,4489.048651921749,other,185541.01142931575,206156.6793659064,231926.26428664467,nr2,-1144790.9594957607,-767975.8887866322,376815.0707091285,0.10454788795811229
16,w50930480,4441.97852948606,other,168700.98991545063,187445.54435050068,210876.23739431327,nr2,-1040887.7618238475,-720615.1581347587,320272.60368908884,0.10454788795811229
17,w50930481,1370.623297881335,other,62080.660377160784,68978.51153017864,77600.82547145098,nr2,-383038.65119531885,-317311.773442064,65726.87775325484,0.10454788795811229
18,w50930482,1573.369959426485,other,63379.87619939754,70422.08466599727,79224.84524924692,nr2,-391054.833258103,-310685.2077268102,80369.62553129281,0.10454788795811229
19,w50930483,704.9254127380437,other,45123.70064816985,50137.445164633165,56404.62581021231,nr1,-302439.5115727158,-213084.96437039925,89354.54720231658,0.11356978691896462
20,w50930486,509.32494937628496,trade,30466.044901173256,33851.16100130362,38082.55612646657,nr1,-204197.25348561327,-151731.40517270396,52465.84831290931,0.11356978691896462
21,w98916060,2713.01504517002,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-1398157.630591331,-346729.98555634095,1051427.64503499,0.10454788795811229
22,w98916062,151.14776481509907,trade,11092.043274505519,12324.492527228354,13865.054093131897,nr1,-74343.90579889057,-64928.95328149528,9414.952517395286,0.11356978691896462
23,w98916065,222.67857759937178,other,20948.500685227787,23276.111872475318,26185.625856534734,nr1,-140406.35462991355,-103615.58298833395,36790.7716415796,0.11356978691896462
24,w98916067,43210.64675020873,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-18722160.147324547,-4642920.208302864,14079239.939021684,0.10454788795811229
25,w98916074,4745.314506876469,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-3030235.779940896,-751470.0669100145,2278765.7130308817,0.10454788795811229
26,w98916075,67.06430839556852,sfh,8538.96409194254,9487.737879936156,10673.705114928174,r1,-61243.600495538274,-52516.399834341144,8727.20066119713,0.11357431851237058
27,w98916076,98.82164086105185,sfh,13728.213996145805,15253.571106828673,17160.267495182256,r1,-98462.20741115026,-69589.57890225854,28872.62850889172,0.11357431851237058
28,w98916079,3334.9361924076916,trade,133751.88480733606,148613.2053414845,167189.85600917006,nr2,-825251.2334788528,-690355.2060654724,134896.02741338033,0.10454788795811229
29,w98916080,2976.303781049745,other,104082.21116258297,115646.90129175886,130102.76395322871,nr2,-642188.8803201139,-507157.4574738344,135031.42284627946,0.10454788795811229
30,w98916086,294.4025758753764,other,20686.516731325537,22985.018590361706,25858.14591415692,nr1,-138650.4193249642,-125065.97774132475,13584.441583639447,0.11356978691896462
31,w98916091,1116.7099465291947,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-404276.0408112515,-100256.66829281264,304019.37251843885,0.10454788795811229
32,w98916094,150.05011938810347,trade,13612.2294499376,15124.699388819556,17015.286812422,nr1,-91235.33679904068,-87887.45625374776,3347.8805452929228,0.11356978691896462
