,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,27974.42320393324,trade,1197392.8826751309,1330436.536305701,1496741.1033439136,nr2,-2770474.84641947,-4347086.420715339,-1576611.5742958686,0.09878447305508076
1,w24853840,937.1926232803613,trade,88019.54120636193,97799.49022929103,110024.4265079524,nr2,-203655.73274563154,-391480.2243905974,-187824.49164496583,0.09878447305508076
2,w24853841,8998.296452549099,trade,370411.49455784855,411568.3272864984,463014.36819731066,nr2,-857041.7808100404,-1671510.2515387016,-814468.4707286612,0.09878447305508076
3,w25538793,404.8852469230536,trade,30724.044681390333,34137.827423767034,38405.05585173791,nr1,-77222.43189418186,-181930.61337161646,-104708.1814774346,0.10730902149130601
4,w27689586,5481.69515059907,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-553525.0501765565,-370082.4392858088,183442.61089074763,0.09878447305508076
5,w28994179,16672.165487814695,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-1394275.757676167,-932201.6650796185,462074.0925965485,0.09878447305508076
6,w28994181,2845.002712316811,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-750003.7573046566,-501446.5377642719,248557.21954038466,0.09878447305508076
7,w29249266,23411.247439788887,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-6240777.018796884,-4172533.8020717986,2068243.2167250859,0.09878447305508076
8,w30213059,1747.46707642246,ab,186541.77691087977,207268.64101208863,233177.2211385997,r2,-461846.89567287173,-591162.141420816,-129315.24574794422,0.09878447305508076
9,w50930444,8762.936898044496,other,330222.16830016905,366913.5203335212,412777.7103752113,nr2,-764053.4900806929,-1588736.5748722055,-824683.0847915126,0.09878447305508076
10,w50930445,4934.112452852726,other,202146.16980193532,224606.85533548368,252682.71225241915,nr2,-467716.892959224,-1079648.4449845941,-611931.5520253701,0.09878447305508076
11,w50930458,1974.6456010334193,other,60554.61203303029,67282.90225892254,75693.26504128786,nr2,-140108.59083894952,-543743.1846400015,-403634.59380105196,0.09878447305508076
12,w50930471,4724.4749339554455,other,258143.60911438576,286826.2323493175,322679.5113929822,nr2,-597281.2985304707,-1150592.2158149765,-553310.9172845058,0.09878447305508076
13,w50930472,9715.957844087014,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-2449028.4749909914,-1637400.9299416116,811627.5450493798,0.09878447305508076
14,w50930478,6019.835157379508,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1575440.2161428877,-1053326.7788931148,522113.43724977295,0.09878447305508076
15,w50930479,4489.048651921749,other,185541.01142931575,206156.6793659064,231926.26428664467,nr2,-429296.6098109103,-867918.4486490454,-438621.8388381351,0.09878447305508076
16,w50930480,4441.97852948606,other,168700.98991545063,187445.54435050068,210876.23739431327,nr2,-390332.9106839428,-815955.1758032279,-425622.26511928515,0.09878447305508076
17,w50930481,1370.623297881335,other,62080.660377160784,68978.51153017864,77600.82547145098,nr2,-143639.49419824456,-362822.3560439665,-219182.86184572193,0.09878447305508076
18,w50930482,1573.369959426485,other,63379.87619939754,70422.08466599727,79224.84524924692,nr2,-146645.56247178864,-354494.7848816451,-207849.22240985648,0.09878447305508076
19,w50930483,704.9254127380437,other,45123.70064816985,50137.445164633165,56404.62581021231,nr1,-113414.81683976843,-241527.60391286085,-128112.78707309242,0.10730902149130601
20,w50930486,509.32494937628496,trade,30466.044901173256,33851.16100130362,38082.55612646657,nr1,-76573.97005710496,-172507.62704004106,-95933.6569829361,0.10730902149130601
21,w98916060,2713.01504517002,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-524309.111471749,-350548.8953956976,173760.2160760514,0.09878447305508076
22,w98916062,151.14776481509907,trade,11092.043274505519,12324.492527228354,13865.054093131897,nr1,-27878.964674583967,-74430.48758727234,-46551.522912688364,0.10730902149130601
23,w98916065,222.67857759937178,other,20948.500685227787,23276.111872475318,26185.625856534734,nr1,-52652.38298621758,-117758.3117584322,-65105.928772214625,0.10730902149130601
24,w98916067,43210.64675020873,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-7020810.055246703,-4694057.676665707,2326752.3785809968,0.09878447305508076
25,w98916074,4745.314506876469,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-1136338.4174778361,-759746.8140967338,376591.6033811023,0.09878447305508076
26,w98916075,67.06430839556852,sfh,8538.96409194254,9487.737879936156,10673.705114928174,r1,-22966.35018582685,-60149.528187934375,-37183.178002107525,0.10731330327141128
27,w98916076,98.82164086105185,sfh,13728.213996145805,15253.571106828673,17160.267495182256,r1,-36923.327779181345,-78893.11112000118,-41969.783340819835,0.10731330327141128
28,w98916079,3334.9361924076916,trade,133751.88480733606,148613.2053414845,167189.85600917006,nr2,-309469.2125545697,-789749.413984348,-480280.20142977824,0.09878447305508076
29,w98916080,2976.303781049745,other,104082.21116258297,115646.90129175886,130102.76395322871,nr2,-240820.83012004275,-578491.6510065754,-337670.82088653266,0.09878447305508076
30,w98916086,294.4025758753764,other,20686.516731325537,22985.018590361706,25858.14591415692,nr1,-51993.907246861585,-143581.08042179808,-91587.1731749365,0.10730902149130601
31,w98916091,1116.7099465291947,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-151603.5153042193,-101360.90269120256,50242.61261301674,0.09878447305508076
32,w98916094,150.05011938810347,trade,13612.2294499376,15124.699388819556,17015.286812422,nr1,-34213.25129964026,-101189.04488385754,-66975.79358421729,0.10730902149130601
33,w98916098,15131.85493721813,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-3215651.527409305,-2149958.9960331214,1065692.5313761835,0.09878447305508076
34,w98916102,1892.1415951219387,trade,73425.17962658805,81583.53291843117,91781.47453323506,nr2,-169887.94253964585,-477783.37381617766,-307895.4312765318,0.09878447305508076
35,w98916109,81.43322088830173,sfh,9629.8057932929,10699.784214769888,12037.257241616126,r1,-25900.271940358583,-68581.30552361981,-42681.03358326123,0.10731330327141128
36,w98916113,559.2398283889517,trade,50271.6825643969,55857.425071552105,62839.60320549612,nr2,-116316.40211580701,-262333.3477125425,-146016.94559673552,0.09878447305508076
37,w98916116,6987.1012714248145,other,358101.17313169746,397890.1923685527,447626.4664146218,nr2,-828558.7019844053,-1489482.223185595,-660923.5212011896,0.09878447305508076
38,w98916121,458.57296650111675,other,22475.134293848154,24972.371437609057,28093.917867310192,nr1,-56489.454605256775,-134809.8825613924,-78320.42795613564,0.10730902149130601
39,w98916126,1235.1179318586364,trade,54455.49615433791,60506.10683815323,68069.37019292239,nr2,-125996.72549232765,-315882.78992073453,-189886.06442840688,0.09878447305508076
40,w99055014,379.03616306802724,mfh,51250.231128429565,56944.70125381063,64062.788910536954,r2,-126887.18066886748,-212351.48979912623,-85464.30913025874,0.09878447305508076
41,w99055018,363.825429549627,mfh,39011.950831555296,43346.61203506144,48764.93853944412,r1,-104926.32532266971,-162817.66576080184,-57891.34043813213,0.10731330327141128
42,w99055022,32.828185592684896,sfh,3912.1656857345315,4346.850761927257,4890.207107168164,r0,-12911.445677105756,-31205.109749048657,-18293.6640719429,0.13168138960378414
43,w99055023,57.57688737055287,sfh,7638.842228320924,8487.602475912137,9548.552785401154,r1,-20545.387442891802,-44118.69751917074,-23573.310076278936,0.10731330327141128
44,w99055025,2922.078992408514,trade,131771.14343422168,146412.38159357963,164713.9292927771,nr2,-304886.26051695965,-628976.0723147085,-324089.81179774884,0.09878447305508076
45,w99055028,168.94065034445376,ab,18863.996140229203,20959.99571136578,23579.9951752865,r1,-50736.49878319517,-85989.96023844118,-35253.46145524601,0.10731330327141128
46,w99055030,502.22660109587014,other,33719.73290267432,37466.369891860355,42149.66612834289,nr1,-84751.85492566266,-199833.08755397785,-115081.23262831519,0.10730902149130601
47,w99055036,2513.4158389533286,other,94056.81089942587,104507.56766602874,117571.01362428232,nr2,-217624.5011153883,-535027.0153117789,-317402.5141963906,0.09878447305508076
