,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
0,w24853838,27974.42320393324,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-8466449.328589952,-3270740.554484606,0.1717420020602267,-116.91896310572493
1,w24853840,937.1926232803613,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-680382.4728181226,-262843.8983142627,0.1717420020602267,-280.45877846782076
2,w24853841,8998.296452549099,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-2990109.9948688303,-1155132.883103906,0.1717420020602267,-128.37239684147903
3,w25538793,404.8852469230536,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-283406.5411679351,-109485.00742501419,0.1717420020602267,-270.40996987924643
4,w27689586,5481.69515059907,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-601315.687384343,-232298.98726663867,0.1717420020602267,-42.3772174272135
5,w28994179,16672.165487814695,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1514655.724005531,-585138.5522214196,0.1717420020602267,-35.096733693597514
6,w28994181,2845.002712316811,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-814758.1120685299,-314755.6071987589,0.1717420020602267,-110.63455434896214
7,w29249266,23411.247439788887,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-6779597.638215792,-2619079.6256845356,0.1717420020602267,-111.87270701488742
8,w30213059,1747.46707642246,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-953860.391207454,-368465.53131750564,0.1717420020602267,-210.85692330859516
9,w50930444,8762.936898044496,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-2721685.6962408815,-1051435.7834984295,0.1717420020602267,-119.98668890712472
10,w50930445,4934.112452852726,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-1669576.3197705168,-644987.1446629276,0.1717420020602267,-130.71999287126488
11,w50930458,1974.6456010334193,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-847723.6893102721,-327490.79832811025,0.1717420020602267,-165.84788589745918
12,w50930471,4724.4749339554455,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-2025864.7630949093,-782627.7322868491,0.1717420020602267,-165.6539072018346
13,w50930472,9715.957844087014,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-2660474.4272970366,-1027788.7773030419,0.1717420020602267,-105.78357726495682
