,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
0,w24853838,27974.42320393324,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-13352191.915859295,-8156483.141753949,0.27084933512546755,-291.56930537202777
1,w24853840,937.1926232803613,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-1073011.4834062902,-655472.9089024302,0.27084933512546755,-699.4004141946233
2,w24853841,8998.296452549099,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-4715615.832743302,-2880638.7209783774,0.27084933512546755,-320.13156447655496
3,w25538793,404.8852469230536,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-446952.244207711,-273030.7104647901,0.27084933512546755,-674.3409707804893
4,w27689586,5481.69515059907,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-948317.5471044569,-579300.8469867526,0.27084933512546755,-105.67914323426821
5,w28994179,16672.165487814695,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-2388719.654304583,-1459202.4825204718,0.27084933512546755,-87.52327246193481
6,w28994181,2845.002712316811,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-1284931.410456339,-784928.9055865679,0.27084933512546755,-275.8974190739403
7,w29249266,23411.247439788887,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-10691906.992472343,-6531388.979941087,0.27084933512546755,-278.9850902536949
8,w30213059,1747.46707642246,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-1504305.584317446,-918910.7244274976,0.27084933512546755,-525.852954156228
9,w50930444,8762.936898044496,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-4292291.649126271,-2622041.736383819,0.27084933512546755,-299.2195158872985
